id,geo,Genealogical researcher,GLAM professional,Government employee,Legal researcher,Member of the general public,Post-secondary researcher,Student,Teacher,Other Identification,Computer Science,Digital Humanities,Education,Environment/Climate,Gender Studies,Genealogy,Geography,Health,History,Indigenous Land Claims,Indigenous Studies,Information Science,Law,Linguistics,Literature,Political Science,Other Interest
118486848472,"Vanløse, Denmark",0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
118486810216,"Glasgow, United Kingdom",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486679160,"Surrey, Canada",1,0,0,0,1,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
118486657207,"Winston-Salem, United States",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biblical theology
118486631463,"Burlington, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486622705,"London, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118486606989,"Hamilton, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
118486606741,"Welland, Canada",0,0,0,0,1,0,0,0,,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,
118486584388,"Coquitlam, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
118486583958,"Cambridge, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486574355,"Toronto, Canada",0,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118486550512,"Oakland, United States",0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486513211,"Toronto, Canada",0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,anthropology
118486501939,"Squamish, Canada",0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,
118486495013,"Hamilton, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486452013,"Fredericton, Canada",0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486419757,"Campbellford, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118486416074,"Winnipeg, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486400942,"Vancouver, Canada",0,0,0,0,0,1,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
118486391944,"Windsor, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118486352660,"Eufaula, United States",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486351965,"Vancouver, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486326183,"Riverton, United States",1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118486322689,"Toronto, Canada",0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486318679,"Richibucto, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486315560,"Orléans, Canada",0,0,0,0,0,0,0,0,editor,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,whatever texts i am working on
118486296798,"Longueuil, Canada",0,0,0,0,0,0,0,0,professor,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,public history
118486294450,"Longueuil, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486290872,"Thunder Bay, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486281810,"Peterborough, Canada",1,0,0,0,0,1,0,1,,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,
118486275245,"Halifax, Canada",1,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118486264583,"Peterborough, Canada",0,0,0,0,0,1,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
118486258335,"Brampton, Canada",0,0,0,0,0,0,0,0,editor,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486229006,"Calgary, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486198344,"Sydney, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unsure
118486161664,"Sebring, United States",0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486159490,"Whitby, Canada",0,0,0,0,0,0,0,1,,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
118486124224,"Courtenay, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486094745,"Edmonton, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
118486093897,"Miami, United States",0,0,0,0,0,0,0,0,pastor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,missionaries to british guiana 
118486084369,"Philadelphia, United States",1,0,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
118486069535,"Longueuil, Canada",0,0,1,0,0,1,0,1,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,
118486046074,"Peterborough, Canada",0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118486022654,"Cambridge, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118486010276,"Pointe-Claire, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,art
118485970033,"Truro, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118485936922,"London, United Kingdom",0,0,0,0,0,0,1,0,saskatoon theological union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theology
118485935898,"London, United Kingdom",0,0,0,0,0,0,1,0,saskatoon theological union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theology
118485808511,"Toronto, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485786457,"Brampton, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485589654,"Toronto, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
118485586127,"Kansas City, United States",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485584565,"Delta, Canada",0,0,0,0,0,0,0,0,rosslander,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118485582497,"Gloucester, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485562832,"Salem, United States",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
118485539236,"Ellensburg, United States",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485538239,"Peterborough, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485524347,"Prince George, Canada",0,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
118485507168,"Winnipeg, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118485499593,"Calgary, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
118485465418,"Crystal Beach, Canada",0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485460983,"Ottawa, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118485456372,"Edmonton, Canada",0,0,0,0,1,0,0,0,independent researcher ,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,"physics, new sciences, economic development"
118485449129,"Montreal, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485442430,"Simcoe, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485441804,"Denver, United States",1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485413889,"Ashford, United Kingdom",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
118485380564,"Edmonton, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485380447,"Rock Springs, United States",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485343703,"Edmonton, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,social sciences
118485343086,"North Bay, Canada",1,0,0,0,0,0,0,1,,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,
118485328962,"Nanaimo, Canada",0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,railway / industrial history
118485321808,"London, Canada",1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485312611,"Bradford, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485296426,"Cambridge, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118485283576,"Toronto, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485277674,"Traverse City, United States",1,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485270574,"Grand Blanc, United States",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118485257175,"St. Catharines, Canada",0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485255119,"Camrose, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485242312,"Halifax, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,
118485239590,"Toronto, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,religion
118485224810,"Toronto, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485224296,"Toronto, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485215826,"Toronto, Canada",0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
118485209736,"Prince George, Canada",0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485201554,"Ajax, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485179675,"Kitchener, Canada",0,0,0,0,0,0,0,0,land surveyor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
118485138658,"Sarnia, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485117232,"Saskatoon, Canada",0,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,
118485085754,"St. John's, Canada",0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485073265,"Winnipeg, Canada",0,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
118485060221,"Oromocto, Canada",1,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485016612,"Ajax, Canada",0,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
118485010559,"Richmond, Canada",0,0,0,0,1,0,0,0,aboriginal  adoptee learning  more about my past ,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,
118484973121,"Austin, United States",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118484965509,"Toronto, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
