0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
id,city,region,country_name,latitude,longitude,Genealogical researcher,GLAM professional,Government employee,Legal researcher,Member of the general public,Post-secondary researcher,Student,Teacher,Other Identification,Computer Science,Digital Humanities,Education,Environment/Climate,Gender Studies,Genealogy,Geography,Health,History,Indigenous Land Claims,Indigenous Studies,Information Science,Law,Linguistics,Literature,Political Science,Other Interest
118486416074,Winnipeg,Manitoba,Canada,49.884,-97.1288,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486400942,Vancouver,British Columbia,Canada,49.2476,-123.1234,0,0,0,0,0,1,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
118486391944,Windsor,Ontario,Canada,42.3071,-82.9446,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118486352660,Eufaula,Alabama,United States,31.903,-85.1663,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486351965,Vancouver,British Columbia,Canada,49.2526,-123.1236,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486326183,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118486322689,Toronto,Ontario,Canada,43.6752,-79.3472,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486318679,Richibucto,New Brunswick,Canada,46.6822,-64.8749,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486315560,,,,,,0,0,0,0,0,0,0,0,editor,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,whatever texts i am working on
118486296798,Longueuil,Quebec,Canada,45.4915,-73.3989,0,0,0,0,0,0,0,0,professor,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,public history
118486294450,Longueuil,Quebec,Canada,45.5185,-73.5043,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486290872,Thunder Bay,Ontario,Canada,48.3987,-89.3168,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486281810,Peterborough,Ontario,Canada,44.3136,-78.24,1,0,0,0,0,1,0,1,,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,
118486275245,,,,,,1,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118486264583,,,,,,0,0,0,0,0,1,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
118486258335,Brampton,Ontario,Canada,43.6445,-79.7755,0,0,0,0,0,0,0,0,editor,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486229006,Calgary,Alberta,Canada,51.0455,-114.1988,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486198344,,,,,,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unsure
